UTJ,20_20240721,10:00:00,10:00:00,0
SJ_0,20_20240721,10:06:00,10:06:00,1
VTR_0,20_20240721,10:08:00,10:08:00,2
LPÄ,20_20240721,10:10:00,10:10:00,3
MAT_0,20_20240721,10:12:00,10:12:00,4
VIA,20_20240721,10:14:00,10:14:00,5
TL,20_20240721,10:17:00,10:17:00,6
KU_0,20_20240721,10:20:00,10:20:00,7
VIN_0,20_20240721,10:23:00,10:23:00,8
ITA,20_20240721,10:24:00,10:24:00,9
LTS_0,20_20240721,10:26:00,10:26:00,10
PRL,20_20240721,10:29:00,10:29:00,11
HL,20_20240721,10:33:00,10:33:00,12
HRV_0,20_20240721,10:36:00,10:36:00,13
TU,20_20240721,10:38:00,10:38:00,14
LK_0,20_20240721,10:41:00,10:41:00,15
RY,20_20240721,10:44:00,10:44:00,16
SAM_0,20_20240721,10:47:00,10:47:00,17
RI,20_20240721,10:47:39,10:47:39,18
RI,20_20240721,10:49:00,10:49:00,19
ARP_0,20_20240721,10:52:00,10:52:00,20
HY,20_20240721,10:54:06,10:54:06,21
HY,20_20240721,10:55:00,10:55:00,22
PLP_0,20_20240721,10:56:30,10:56:30,23
JK,20_20240721,10:59:30,10:59:30,24
PUR_0,20_20240721,11:03:00,11:03:00,25
SAU,20_20240721,11:04:30,11:04:30,26
JP,20_20240721,11:06:00,11:06:00,27
AIN,20_20240721,11:07:30,11:07:30,28
KYT_0,20_20240721,11:10:30,11:10:30,29
KE,20_20240721,11:12:00,11:12:00,30
SAV_0,20_20240721,11:13:02,11:13:02,31
KRS_0,20_20240721,11:14:28,11:14:28,32
HNA_0,20_20240721,11:15:00,11:15:00,33
RKL_0,20_20240721,11:15:25,11:15:25,34
KVY_0,20_20240721,11:16:03,11:16:03,35
HVK_0,20_20240721,11:17:00,11:17:00,36
HKH_0,20_20240721,11:17:40,11:17:40,37
TKL,20_20240721,11:19:00,11:20:00,38
PLA_0,20_20240721,11:21:06,11:21:06,39
TNA_0,20_20240721,11:21:58,11:21:58,40
ML_0,20_20240721,11:23:00,11:23:00,41
PMK_0,20_20240721,11:23:50,11:23:50,42
OLK_0,20_20240721,11:25:00,11:25:00,43
KÄP_0,20_20240721,11:26:00,11:26:00,44
PSL,20_20240721,11:28:00,11:29:00,45
HKI,20_20240721,11:35:00,11:35:00,46
UTJ,20_20240505,10:00:00,10:00:00,0
SJ_0,20_20240505,10:06:00,10:06:00,1
VTR_0,20_20240505,10:08:00,10:08:00,2
LPÄ,20_20240505,10:10:00,10:10:00,3
MAT_0,20_20240505,10:12:00,10:12:00,4
VIA,20_20240505,10:14:00,10:14:00,5
