8192_20240526,0,0,0,0,0,0,1
1_20240516,1,1,1,1,1,1,1
1_20240519,0,0,0,0,0,0,0
1_20241026,1,1,1,1,1,1,1
1_20240623,1,1,1,1,1,1,1
1_20241214,1,1,1,1,1,1,1
8193_20241214,1,1,1,1,1,1,1
2_20240721,0,0,0,0,0,0,1
2_20240505,0,0,0,0,0,0,1
2_20240609,0,0,0,0,0,0,1
2_20240929,0,0,0,0,0,0,1
2_20240901,0,0,0,0,0,0,1
2_20241013,0,0,0,0,0,0,1
2_20241117,0,0,0,0,0,0,1
2_20241201,0,0,0,0,0,0,1
2_20240825,0,0,0,0,0,0,1
2_20240517,1,1,1,1,1,1,0
2_20240706,1,1,1,1,1,1,0
2_20240914,1,1,1,1,1,1,0
2_20240622,1,1,1,1,1,1,0
2_20240810,1,1,1,1,1,1,0
2_20241026,1,1,1,1,1,1,0
2_20241130,1,1,1,1,1,1,0
2_20241214,1,1,1,1,1,1,0
2_20241102,1,1,1,1,1,1,0
2_20240804,0,0,0,0,0,0,1
2_20240616,0,0,0,0,0,0,1
2_20240428_replacement,0,0,0,0,0,0,1
2_20240512_replacement,0,0,0,0,0,0,1
2_20240908,0,0,0,0,0,0,1
2_20240728,0,0,0,0,0,0,1
2_20241020,0,0,0,0,0,0,1
2_20241124,0,0,0,0,0,0,1
2_20241208,0,0,0,0,0,0,1
2_20240629,1,1,1,1,1,1,0
2_20240525,1,1,1,1,1,1,0
2_20240713,1,1,1,1,1,1,0
2_20240817,1,1,1,1,1,1,0
2_20240921,1,1,1,1,1,1,0
2_20241109,1,1,1,1,1,1,0
2_20240601,1,1,1,1,1,1,0
2_20241005,1,1,1,1,1,1,0
2_20240623,0,0,0,0,0,0,1
2_20240519_replacement,0,0,0,0,0,0,1
2_20240915,0,0,0,0,0,0,1
2_20241027,0,0,0,0,0,0,1
2_20241103,0,0,0,0,0,0,1
2_20240707,0,0,0,0,0,0,1
2_20240811,0,0,0,0,0,0,1
2_20240608,1,1,1,1,1,1,0
2_20240720,1,1,1,1,1,1,0
2_20241012,1,1,1,1,1,1,0
2_20241116,1,1,1,1,1,1,0
2_20240928,1,1,1,1,1,1,0
2_20240824,1,1,1,1,1,1,0
2_20240504,1,1,1,1,1,1,0
2_20240602,0,0,0,0,0,0,1
2_20240518,0,0,0,0,0,1,0
2_20240526,0,0,0,0,0,0,1
2_20240630,0,0,0,0,0,0,1
2_20240714,0,0,0,0,0,0,1
2_20240922,0,0,0,0,0,0,1
2_20241006,0,0,0,0,0,0,1
2_20241110,0,0,0,0,0,0,1
2_20240818,0,0,0,0,0,0,1
2_20240727,1,1,1,1,1,1,0
2_20240427,1,1,1,1,1,1,0
2_20240511,1,1,1,1,1,1,0
2_20240615,1,1,1,1,1,1,0
2_20240907,1,1,1,1,1,1,0
2_20240831,1,1,1,1,1,1,0
2_20241019,1,1,1,1,1,1,0
2_20241123,1,1,1,1,1,1,0
2_20241207,1,1,1,1,1,1,0
2_20240803,1,1,1,1,1,1,0
8194_20241214,1,1,1,1,1,1,1
3_20240516,1,1,1,1,1,1,1
3_20240519,0,0,0,0,0,0,0
3_20241026,1,1,1,1,1,1,1
3_20240623,1,1,1,1,1,1,1
3_20241214,1,1,1,1,1,1,1
8195_20240526,0,0,0,0,0,0,1
65541_20241214,1,1,1,1,1,1,0
4_20240721,0,0,0,0,0,0,1
4_20240505,0,0,0,0,0,0,1
4_20240609,0,0,0,0,0,0,1
4_20240929,0,0,0,0,0,0,1
4_20240901,0,0,0,0,0,0,1
4_20241013,0,0,0,0,0,0,1
4_20241117,0,0,0,0,0,0,1
4_20241201,0,0,0,0,0,0,1
4_20240825,0,0,0,0,0,0,1
4_20240517,1,1,1,1,1,1,0
4_20240706,1,1,1,1,1,1,0
4_20240914,1,1,1,1,1,1,0
4_20240622,1,1,1,1,1,1,0
4_20240810,1,1,1,1,1,1,0
4_20241026,1,1,1,1,1,1,0
4_20241130,1,1,1,1,1,1,0
4_20241214,1,1,1,1,1,1,0
4_20241102,1,1,1,1,1,1,0
4_20240804,0,0,0,0,0,0,1
4_20240616,0,0,0,0,0,0,1
4_20240428,0,0,0,0,0,0,1
4_20240512,0,0,0,0,0,0,1
4_20240908,0,0,0,0,0,0,1
4_20240728,0,0,0,0,0,0,1
4_20241020,0,0,0,0,0,0,1
4_20241124,0,0,0,0,0,0,1
4_20241208,0,0,0,0,0,0,1
4_20240629,1,1,1,1,1,1,0
4_20240525,1,1,1,1,1,1,0
4_20240713,1,1,1,1,1,1,0
4_20240817,1,1,1,1,1,1,0
4_20240921,1,1,1,1,1,1,0
4_20241109,1,1,1,1,1,1,0
4_20240601,1,1,1,1,1,1,0
4_20241005,1,1,1,1,1,1,0
4_20240623,0,0,0,0,0,0,1
4_20240519,0,0,0,0,0,0,1
4_20240915,0,0,0,0,0,0,1
4_20241027,0,0,0,0,0,0,1
4_20241103,0,0,0,0,0,0,1
4_20240707,0,0,0,0,0,0,1
4_20240811,0,0,0,0,0,0,1
4_20240608,1,1,1,1,1,1,0
4_20240720,1,1,1,1,1,1,0
4_20241012,1,1,1,1,1,1,0
4_20241116,1,1,1,1,1,1,0
4_20240928,1,1,1,1,1,1,0
4_20240824,1,1,1,1,1,1,0
4_20240504,1,1,1,1,1,1,0
4_20240602,0,0,0,0,0,0,1
4_20240518,0,0,0,0,0,1,0
4_20240526,0,0,0,0,0,0,1
4_20240630,0,0,0,0,0,0,1
4_20240714,0,0,0,0,0,0,1
4_20240922,0,0,0,0,0,0,1
4_20241006,0,0,0,0,0,0,1
4_20241110,0,0,0,0,0,0,1
4_20240818,0,0,0,0,0,0,1
4_20240727,1,1,1,1,1,1,0
4_20240427,1,1,1,1,1,1,0
4_20240511,1,1,1,1,1,1,0
4_20240615,1,1,1,1,1,1,0
4_20240907,1,1,1,1,1,1,0
4_20240831,1,1,1,1,1,1,0
4_20241019,1,1,1,1,1,1,0
4_20241123,1,1,1,1,1,1,0
4_20241207,1,1,1,1,1,1,0
4_20240803,1,1,1,1,1,1,0
8196_20240526,0,0,0,0,0,0,1
65540_20241214,1,1,1,1,1,1,0
5_20240516,1,1,1,1,1,1,1
5_20240518,0,0,0,0,0,0,0
5_20241026,1,1,1,1,1,1,1
5_20241214,1,1,1,1,1,1,1
5_20240623,1,1,1,1,1,1,1
8197_20241214,1,1,1,1,1,1,1
65543_20241214,1,1,1,1,1,1,0
6_20241214,1,1,1,1,1,1,1
6_20240517,1,1,1,1,1,1,1
6_20240519,0,0,0,0,0,0,0
8198_20241214,1,1,1,1,1,1,1
65542_20241214,1,1,1,1,1,1,0
7_20240516,1,1,1,1,1,0,1
7_20240518,0,0,0,0,1,0,0
7_20241025,1,1,1,1,1,0,1
7_20241213,1,1,1,1,1,0,1
7_20240623,1,1,1,1,1,0,1
8199_20240526,0,0,0,0,0,0,1
65545_20241214,1,1,1,1,1,1,0
8_20241214,1,1,1,1,1,1,1
8_20240516,1,1,1,1,1,1,1
8_20240519,0,0,0,0,0,0,0
8200_20240526,0,0,0,0,0,0,1
65544_20241214,1,1,1,1,1,1,0
9_20240503,1,1,1,1,1,0,1
9_20240705,1,1,1,1,1,1,1
9_20240615,0,0,0,0,0,1,0
9_20240517,0,0,0,0,1,0,0
9_20240427,0,0,0,0,0,1,0
9_20240511,0,0,0,0,0,1,0
9_20240525,0,0,0,0,0,1,0
9_20240601,0,0,0,0,0,1,0
9_20240623,1,1,1,1,1,0,1
9_20240629,0,0,0,0,0,1,0
9_20240713,0,0,0,0,0,1,0
9_20240803,0,0,0,0,0,1,0
9_20240727,0,0,0,0,0,1,0
9_20240426,1,1,1,1,1,0,1
9_20240510,1,1,1,1,1,0,1
9_20240524,1,1,1,1,1,0,1
9_20240614,1,1,1,1,1,0,1
9_20240712,1,1,1,1,1,1,1
9_20240726,1,1,1,1,1,1,1
9_20240802,1,1,1,1,1,1,1
9_20241026,1,1,1,1,1,1,1
9_20240504,0,0,0,0,0,1,0
9_20240518,0,0,0,0,0,1,0
9_20240608,0,0,0,0,0,1,0
9_20240622,0,0,0,0,0,1,0
9_20240706,0,0,0,0,0,1,0
9_20240720,0,0,0,0,0,1,0
9_20240810,0,0,0,0,0,1,0
9_20240516,1,1,1,1,1,0,1
9_20240628,1,1,1,1,1,1,1
9_20240531,1,1,1,1,1,0,1
9_20240607,1,1,1,1,1,0,1
9_20240621,1,1,1,1,1,0,1
9_20240719,1,1,1,1,1,1,1
9_20240809,1,1,1,1,1,1,1
9_20241214,1,1,1,1,1,1,1
8201_20241214,1,1,1,1,1,1,1
10_20241214,1,1,1,1,1,1,1
