941,220000,1
941,220001,2
941,220002,3
941,220003,4
941,220004,5
951,220005,1
951,220006,2
951,220007,3
951,220008,4
951,220009,5
957,220010,1
957,220011,2
957,220012,3
957,220013,4
957,220014,5
946,220015,1
946,220016,2
946,220017,3
946,220018,4
946,220019,5
954,220020,1
954,220021,2
954,220022,3
954,220023,4
954,220024,5
962,220025,1
962,220026,2
962,220027,3
962,220028,4
962,220029,5
21,220030,1
21,220031,2
21,220032,3
21,220033,4
21,220034,5
9661,220035,1
9661,220036,2
9661,220037,3
9661,220038,4
9661,220039,5
9705,220040,1
9705,220041,2
9705,220042,3
9705,220043,4
9705,220044,5
9636,220045,1
9636,220046,2
9636,220047,3
9636,220048,4
9636,220049,5
9672,220050,1
9672,220051,2
9672,220052,3
9672,220053,4
9672,220054,5
9708,220055,1
9708,220056,2
9708,220057,3
9708,220058,4
9708,220059,5
905,220060,1
905,220061,2
905,220062,3
905,220063,4
905,220064,5
917,220065,1
917,220066,2
917,220067,3
917,220068,4
917,220069,5
923,220070,1
923,220071,2
923,220072,3
923,220073,4
923,220074,5
904,220075,1
904,220076,2
904,220077,3
904,220078,4
904,220079,5
916,220080,1
916,220081,2
916,220082,3
916,220083,4
916,220084,5
924,220085,1
924,220086,2
924,220087,3
924,220088,4
924,220089,5
